onpix,x_bar,y_bar,x2ybr,xy2br,letter
3287,-86.29844843322178,5.065409187709157,80415751488.33586,277054665.96045023,5
3918,-102.8583460949464,7.326442062276672,162325308631.0554,823557368.600051,K
468,17.8482905982906,23.568376068376068,69474930.59615384,121142571.1068376,M
1136,-0.7816901408450704,17.371478873239436,787694.9049295775,388746468.3380282,B
1707,-21.956649091974224,16.54364381956649,1403106175.211482,796564460.966608,G
2915,-70.93001715265866,14.550943396226415,42720788878.28405,1797883801.6089194,0
3540,-90.12824858757062,14.029943502824858,101737957097.67345,2465319067.2446327,9
518,12.947876447876448,25.92084942084942,44810609.27220077,179589779.43050194,6
988,-5.757085020242915,24.0668016194332,32288622.801619433,564250164.7024292,5
1503,-23.2874251497006,20.811044577511645,1223441883.3639388,977075225.6194278,3
2435,-67.74784394250513,20.581108829568787,27191437467.355236,2509451603.229569,N
2965,-85.80472175379427,20.401011804384485,64681310597.17572,3656452296.6104555,X
2961,-86.97061803444782,19.45727794663965,66271770247.85748,3317016995.0678825,X
3364,-108.820451843044,19.669143876337692,133929055976.88704,4375470185.47176,H
414,22.113526570048307,19.497584541062803,83409728.73671497,64843544.512077294,4
994,2.1287726358148893,18.02414486921529,4468915.084507043,320338399.4426559,6
2398,-62.82193494578816,15.753127606338616,22675597974.194744,1425837003.6321936,A
2986,-81.03382451440054,15.887474882786336,58508825612.37542,2249047223.306095,K
3426,-103.24284880326911,16.528021015761823,125037745279.78401,3204519862.558961,S
919,136.3329706202394,23.675734494015234,15663449658.369967,472381235.27312297,1
418,19.736842105263158,25.595693779904305,67737363.58851674,113922269.91626795,0
931,0.4522019334049409,21.981740064446832,177340.7798066595,417917805.56820625,5
1429,-18.053883834849547,20.427571728481457,664658279.1322603,850923061.7270819,9
2373,-62.04677623261694,20.30172777075432,21660470304.61357,2318972002.1955333,N
2894,-82.89737387698688,19.872494816862474,57514645975.09572,3305230510.687284,X
3238,-107.33662754786906,19.299567634342186,120720580018.65411,3902839068.263743,C
405,19.79753086419753,21.725925925925925,63971378.11851852,77041418.26666667,C
1032,2.369186046511628,17.412790697674417,5967014.076550388,322296329.0251938,D
1930,-46.6538860103627,14.21139896373057,8099164566.251814,751516629.4331607,7
2726,-92.54255319148936,11.97762289068232,63593979861.74872,1065306584.1925899,7
3187,-112.59397552557265,13.606526513962974,128683207016.58989,1879257439.7012866,2
506,20.83596837944664,20.796442687747035,110716107.35375494,110297120.53557312,M
975,-3.884102564102564,16.164102564102564,14312447.343589744,247869371.84205127,L
1986,-42.09264853977845,14.444612286002014,6981257926.195368,822116278.7527694,6
2483,-63.07893677003624,15.440596053161498,24511638908.602497,1468696032.7176802,4
3078,-81.18518518518519,15.230019493177387,62403450185.91293,2196120060.8758936,6
3523,-103.93726937269372,15.447346011921658,134005101359.73375,2959964981.245529,9
591,0.5532994923857868,26.370558375634516,106930.93739424704,242072017.83417937,J
894,-19.61185682326622,27.363534675615213,306719889.1756152,597101443.0637584,J
1339,-33.23823749066467,20.712471994025393,1977828692.1120238,768027460.0941001,J
2016,-74.68105158730158,16.577876984126984,22644932856.840775,1115856503.576885,2
2380,-97.66554621848739,17.165546218487396,53984825048.958824,1667648138.9319327,5
2711,-116.71412762818149,16.236075248985614,100042715811.78754,1935980301.5234232,$
398,19.738693467336685,9.316582914572864,61407099.52763819,13681263.572864322,Y
951,-0.5878023133543638,14.541535226077812,312401.4258675079,190840320.00210306,2
1500,-21.347333333333335,17.172666666666668,1023979128.0473334,662642689.478,8
1955,-43.48951406649616,16.956521739130434,7221349642.272122,1097799514.2598464,6
2265,-78.60441501103753,16.819867549668874,31669905691.892273,1450101055.4410596,1
2851,-88.63486495966328,15.088390038582954,63811496823.57488,1849165367.9775517,3
350,15.005714285714285,18.99142857142857,27426188.61142857,43931164.345714286,2
771,-1.9208819714656291,13.98443579766537,2188091.115434501,115950834.61738002,4
1204,-19.06644518272425,13.683554817275747,526103857.08637875,270975599.6785714,5
1966,-54.99949135300102,13.835707019328586,11679991994.46236,739142462.0900306,A
2408,-75.61794019933555,12.975498338870432,33128510786.053158,975439944.7254983,F
2669,-97.75646309479205,12.310228550018733,68024074243.71375,1078708532.5380292,C
492,18.546747967479675,24.892276422764226,82927639.41260162,149380704.37601626,B
957,-3.389759665621735,17.885057471264368,10502112.64785789,292346453.78892374,E
1915,-43.9331592689295,17.886684073107048,7070805618.527415,1172043830.2140992,8
2427,-66.50638648537289,18.50885867325917,26032049607.46271,2016234531.1297898,9
2946,-86.15478615071284,16.360149355057704,64376810177.00204,2321374902.8462324,0
3376,-108.83175355450237,17.39366113744076,134914563089.39278,3446114246.326718,2
486,14.368312757201647,21.46502057613169,48562023.13374486,108379893.24691358,R
909,-5.534653465346534,13.654565456545654,25255913.11771177,153719669.15731573,T
1347,-27.098737936154418,14.030438010393468,1330419740.285078,356642825.41945064,A
2230,-69.25067264573991,12.972645739910314,23826935908.684753,836137401.9,6
2803,-84.2500891901534,13.254013556903319,55728460280.05423,1379212965.4206207,8
3156,-108.28548795944234,14.449302915082383,116718384784.03326,2078225529.3891,9
